ENSEMBL,SYMBOL,ENTREZID,baseMean,log2FoldChange,lfcSE,pvalue,padj,FC_score,P_score,TargetRankAI_score,Rank
ENSG00000236841,LOC101929532,101929532,30.8682568546489,3.03421685969266,0.966633206363708,6.77305504970594e-05,0.0065372548213192,0.49596026604179644,0.07123908502295775,0.2835996755323771,72
ENSG00000188820,CALHM6,441168,199.222673473338,2.85839677570721,0.76740555409014,6.7380888614045e-06,0.0011506050374068,0.4672214580853515,0.09584202313326515,0.2815317406093083,73
ENSG00000156113,KCNMA1,3778,1660.61705306587,2.5495492288729,0.53076142963581,6.63094341198162e-08,3.82279320163646e-05,0.4167385431925063,0.14405680160787226,0.2803976724001893,74
ENSG00000251039,IGKV2D-40,28878,29.4247784779383,3.03184490668517,1.07297230601621,0.0001949751354063,0.0142302544446183,0.4955725566264738,0.060222999064404474,0.2778977778454391,75
ENSG00000224137,LINC01857,102724714,121.548524058986,2.70517860310569,0.648831120855485,1.23696753143988e-06,0.0003412672739483,0.44217706305368426,0.11305440218250058,0.2776157326180924,76
ENSG00000145423,SFRP2,6423,1923.23560872939,2.72393220795591,0.678363939036449,2.4050503405301e-06,0.0005566582850323,0.4452424480544452,0.10612505640997143,0.2756837522322083,77
ENSG00000137673,MMP7,4316,395.096732508762,2.36336764941431,0.46875183010828,2.20290947798847e-08,1.5101945794101e-05,0.3863060889711171,0.1572098158312717,0.2717579524011944,78
ENSG00000164509,IL31RA,133396,93.3625207842141,2.81632631767084,0.829577946490201,2.24521587892427e-05,0.002902486790223,0.46034479879398765,0.08273805104690105,0.27154142492044436,79
ENSG00000169245,CXCL10,3627,1193.59407276151,2.65126732058504,0.66148530285811,2.4359797647615e-06,0.0005566582850323,0.4333649526284906,0.10612505640997143,0.269745004519231,80
ENSG00000244437,IGKV3-15,28913,786.445125352802,2.50028409269109,0.549574642773613,2.36915016094738e-07,0.0001029372631465,0.408685872214404,0.13002841803479961,0.2693571451246018,81
ENSG00000211598,IGKV4-1,28908,2875.11207367791,2.55199607921849,0.600198304455501,8.72320783230447e-07,0.000270335795603,0.4171384950102172,0.11635420324497249,0.2667463491275949,82
ENSG00000232216,IGHV3-43,28426,93.3433024447043,2.73006290599804,0.774095598422831,1.55883056582982e-05,0.0022179511880986,0.44624454604961117,0.08654744820798664,0.2663959971287989,83
ENSG00000047457,CP,1356,1979.02361294114,2.49202681674899,0.564096442666841,4.31211668597881e-07,0.0001625883596448,0.40733617278209666,0.12355486324029982,0.26544551801119826,84
ENSG00000224041,IGKV3D-15,28875,109.543502522796,2.62003855346334,0.676787291467501,3.72910168742999e-06,0.0007594805695035,0.4282604303197574,0.10172510841914367,0.26499276936945054,85
ENSG00000169248,CXCL11,6373,231.686520602018,2.62490361099815,0.687170374249042,5.2024537848435e-06,0.0009415608957961,0.4290556520658779,0.0986815973719881,0.263868624718933,86
ENSG00000137573,SULF1,23213,2694.7285825088,1.95483266991659,0.336547257203147,3.15952970376221e-10,4.20459061695367e-07,0.3195286875893344,0.2079278287649655,0.26372825817714995,87
ENSG00000211934,IGHV1-2,28474,188.555924922285,2.7598993806431,0.87940300012832,5.1544647577465e-05,0.0053490576245183,0.4511214901135935,0.07407997277292619,0.26260073144325985,88
ENSG00000211952,IGHV4-28,28400,52.9948022047866,2.66284697613026,0.742171928996583,1.2504240247291e-05,0.0018900316679062,0.4352577141911765,0.08881325799300185,0.26203548609208915,89
ENSG00000079215,SLC1A3,6507,3113.50446653479,2.52141062777982,0.618475804764749,1.86530272795491e-06,0.0004651034666284,0.41213912636454053,0.10866988038867788,0.2604045033766092,90
ENSG00000137745,MMP13,4322,30.1959494528261,2.89103263890097,1.26516570176913,0.0007236373909476,0.0345945104199295,0.47255597837198665,0.047642393391956576,0.2600991858819716,91
ENSG00000112837,TBX18,9096,88.9184887445513,2.7867840459021,1.00618586074892,0.0001623853696909,0.0124109601976973,0.45551594388894057,0.062160246882172046,0.2588380953855563,92
ENSG00000140511,HAPLN3,145864,703.948451459282,2.43021602226446,0.562630849368094,6.84644318835814e-07,0.0002346774003791,0.39723284151265426,0.11835748562609094,0.2577951635693726,93
ENSG00000181617,FDCSP,260436,67.1245422574776,2.67437205941963,0.825573615480208,4.14266861388699e-05,0.0045494947598041,0.43714155560352985,0.07637288779521545,0.25675722169937265,94
ENSG00000136160,EDNRB,1910,4594.96732109324,-1.90008474872456,0.334807745044245,6.50198240788575e-10,6.68610672789088e-07,0.3105798237423433,0.2013586379741331,0.2559692308582382,95
ENSG00000164530,PI16,221476,355.375755904083,2.65947945522781,0.829013263795144,4.5371024764874e-05,0.0048416447795082,0.4347072734547653,0.07549145829023136,0.2550993658724983,96
ENSG00000211896,IGHG1,3500,55670.6687666242,2.48450463911356,0.622239896066169,2.97930715516247e-06,0.0006607928016788,0.4061066294126556,0.10369640331087795,0.2549015163617668,97
ENSG00000188282,RUFY4,285180,95.3972462256258,2.64865330832573,0.843225837301821,5.8234419961351e-05,0.0058552768123806,0.4329376772307476,0.07279938866775565,0.2528685329492516,98
ENSG00000211938,IGHV3-7,28452,806.254554428911,2.23564577736264,0.477870085440863,1.2501455974918e-07,6.14827040262108e-05,0.3654292114863223,0.1373270878806288,0.25137814968347555,99
ENSG00000239975,IGKV1D-33,28896,256.490474882601,2.52030601663448,0.702174615550353,1.14770074716362e-05,0.001778385890622,0.4119585712945344,0.0896755561917295,0.25081706374313195,100
ENSG00000124731,TREM1,54210,1583.11812369803,-2.54439114715779,0.733104922184049,1.76380496972382e-05,0.0024183369593977,0.41589542495212106,0.08532247409923088,0.250608949525676,101
ENSG00000237914,SIRPG-AS1,101929010,56.3778511948866,2.67458153479975,0.958113824118783,0.0001426141132251,0.0112416692804615,0.43717579556397357,0.063561630753361,0.25036871315866727,102
ENSG00000254395,IGHV4-55,28393,42.3119909132335,2.67719252606209,0.948528133720484,0.000184169581949,0.0135715584769844,0.43760257716231793,0.060894200642075465,0.2492483889021967,103
ENSG00000083454,P2RX5,5026,91.1725873249301,2.40326262599674,0.623361241771282,4.49363617681542e-06,0.0008615214510855,0.39282715325706186,0.09993975138654365,0.24638345232180275,104
ENSG00000004468,CD38,952,869.887403347021,2.30848880075182,0.547576398788795,1.0801705369786e-06,0.0003054587257258,0.37733582427307144,0.11462429712849477,0.2459800607007831,105
ENSG00000211945,IGHV1-18,28468,318.229724185182,2.38680192505803,0.618543388710374,4.21477887781844e-06,0.0008291386308946,0.39013655664043634,0.10048234076434878,0.24530944870239257,106
ENSG00000211897,IGHG3,3502,16841.4456872595,2.42161857988637,0.646432631521303,8.26961181601557e-06,0.0013556770153168,0.3958275399121785,0.09351924246097368,0.2446733911865761,107
ENSG00000211625,IGKV3D-20,28874,417.821306698937,2.57691599800935,0.873527912492193,9.79136774357776e-05,0.0084545844451511,0.42121179963041067,0.06759669518090028,0.24440424740565547,108
ENSG00000114854,TNNC1,7134,742.414050578182,-2.04971932147317,0.412935121540941,3.20405026701642e-08,2.0134785886309e-05,0.33503845868545284,0.15313641652698476,0.24408743760621882,109
ENSG00000169550,MUC15,143662,322.469014199819,-2.25390040084637,0.530965570669017,9.14138752600623e-07,0.0002786657702283,0.36841303510148754,0.11592440639811272,0.24216872074980011,110
ENSG00000143167,GPA33,10223,141.593478221192,-2.49159433944776,0.766881813397873,3.96526597656291e-05,0.0044193873466794,0.40726548186997885,0.07678380468522177,0.24202464327760032,111
ENSG00000136155,SCEL,8796,3222.05982230263,-1.8609562347197,0.349287586761114,4.698060083864511e-09,3.93645234360247e-06,0.3041840421904485,0.1762514722608732,0.24021775722566086,112
ENSG00000211965,IGHV3-49,28423,273.156458384049,2.34811727160627,0.627549580796159,6.81523560149065e-06,0.0011506050374068,0.38381332665890733,0.09584202313326515,0.23982767489608625,113
ENSG00000181072,CHRM2,1129,151.416070216778,-2.45074602588012,0.748990630548649,3.52744175807111e-05,0.0040101163262735,0.4005885891489959,0.0781600960802822,0.23937434261463905,114
ENSG00000204305,AGER,177,11925.3644055216,-1.7799425455771,0.326365725548699,2.3974834810114703e-09,2.1425804016452e-06,0.2909418869068406,0.18486588123496545,0.23790388407090302,115
ENSG00000198203,SULT1C2,6819,473.554146382277,2.37482665384937,0.670148003950977,1.49765382895172e-05,0.0021731318822952,0.38817912941317767,0.08683656169620736,0.2375078455546925,116
ENSG00000125872,LRRN4,164312,782.110710807355,-1.88561806837492,0.364535022587906,1.07692765792107e-08,8.40114979487871e-06,0.30821516130497356,0.16551529150885572,0.23686522640691465,117
ENSG00000211599,IGKV5-2,28907,39.4736024736315,2.53971954022814,1.04087277401608,0.0004666911435838,0.0254408523886676,0.415131823824446,0.05199497726147999,0.233563400542963,118
ENSG00000118322,ATP10B,23120,101.954133439338,2.36722851583946,0.712365843655521,2.89551294323248e-05,0.0035217843717606,0.3869371698819137,0.07999908876378382,0.23346812932284874,119
ENSG00000144278,GALNT13,114805,267.660704965415,-2.28658709837067,0.628046262175127,1.0337036482434e-05,0.0016468646221274,0.3737558645529796,0.09076367676464467,0.23225977065881215,120
ENSG00000211685,IGLC7,28834,445.356289669826,2.17882169290949,0.541406147740152,2.40487582685789e-06,0.0005566582850323,0.3561409867660165,0.10612505640997143,0.23113302158799398,121
ENSG00000143387,CTSK,1513,2666.88694009282,1.9631179452683,0.411736130502713,8.79762818674922e-08,4.73877958259113e-05,0.320882963686818,0.14101479198622419,0.2309488778365211,122
ENSG00000205221,VIT,5212,36.6131607074669,2.48339964841773,1.01899848233621,0.0003849790185882,0.0223232839289078,0.40592601230293024,0.05384634092127721,0.22988617661210373,123
ENSG00000211962,IGHV1-46,28465,216.570067149154,2.42033894880936,0.852780274596229,0.0001361139742216,0.0108045839958477,0.3956183768237322,0.06412325791499043,0.22987081736936132,124
ENSG00000164161,HHIP,64399,3573.66926581713,-2.05664623827745,0.467900654979008,4.67086652796246e-07,0.0001732278909214,0.336170703234858,0.12265717411867696,0.22941393867676746,125
ENSG00000255833,TIFAB,497189,207.915015179218,2.34605205649558,0.734515341162762,4.91569484478793e-05,0.005165325817954,0.3834757553239978,0.07457497202559965,0.22902536367479873,126
ENSG00000241351,IGKV3-11,28914,1718.38293543606,2.19656828992322,0.577383013849191,5.83283305224586e-06,0.0010229161406275,0.3590417705211888,0.09750792505121984,0.22827484778620433,127
ENSG00000165195,PIGA,5277,2275.25809015149,-2.06101240977574,0.480986339204286,7.31440970901384e-07,0.000246975956488,0.3368843791776168,0.11763409355259674,0.22725923636510678,128
ENSG00000122691,TWIST1,7291,37.1634003768649,2.4334925663928,0.962811130029588,0.0003053936968312,0.0191840933159274,0.3977684115700145,0.0559926006988547,0.2268805061344346,129
ENSG00000211941,IGHV3-11,28450,226.224595217502,2.17139297455001,0.569385340593188,5.36032996419428e-06,0.0009624344823806,0.35492671985488666,0.09837106392315971,0.22664889188902318,130
ENSG00000177807,KCNJ10,3766,186.823638988166,2.4506251540807,1.05794725058796,0.0005385190459627,0.0278785271780695,0.4005688319554368,0.05069913143372872,0.22563398169458276,131
ENSG00000158764,ITLN2,142683,407.958432828882,-1.98252786706769,0.442489798324761,3.21506135968427e-07,0.0001298827377502,0.3240556274826586,0.12673553904549917,0.22539558326407888,132
ENSG00000169436,COL22A1,169044,79.3662781279382,2.35295419827181,0.800617802762342,0.000119322394994,0.009745236613536,0.38460395025201094,0.06558467879053319,0.22509431452127207,133
ENSG00000148848,ADAM12,8038,786.89532286219,1.92655491114748,0.419720847784075,2.01690229699989e-07,8.94674130686833e-05,0.31490652463569035,0.13201459507534796,0.22346055985551916,134
ENSG00000251546,IGKV1D-39,28893,395.662163286944,2.30350080376315,0.771211837326015,9.27043509003318e-05,0.0081618048397132,0.3765205073633344,0.06809581970810488,0.22230816353571964,135
ENSG00000227507,LTB,4050,547.732876755905,2.0830315128126,0.532344593026055,3.62777594868065e-06,0.0007461015935182,0.3404835287127852,0.10197681214478974,0.22123017042878745,136
ENSG00000103742,IGDCC4,57722,222.391754891556,1.94417489064062,0.437840746020272,4.05289755735455e-07,0.0001554045787119,0.31778661202600095,0.12419484751200219,0.22099072976900158,137
ENSG00000211592,IGKC,3514,67081.7328411344,2.22706168333146,0.681447765080164,4.24877995468449e-05,0.0046434854548225,0.36402609175022566,0.07608328452078902,0.22005468813550733,138
ENSG00000060718,COL11A1,1301,173.725657368729,2.27944937964826,0.795965716169371,0.0001299459219453,0.0104618028191089,0.37258916321283325,0.06457984189546154,0.2185845025541474,139
ENSG00000125740,FOSB,2354,13095.1302838449,-2.22625685218473,0.71096800787776,5.717213915121e-05,0.0057741308215081,0.36389453745199685,0.07299702933951838,0.2184457833957576,140
ENSG00000226004,SIMALR,105378020,73.5432835656906,2.25612265345706,0.749669737285263,9.35271990055854e-05,0.008201030322106,0.36877627512254574,0.06802791961518319,0.21840209736886446,141
ENSG00000186340,THBS2,7058,2196.10769949224,1.7135724477547,0.340951925442182,2.50126057499914e-08,1.66429464671193e-05,0.28009331118026853,0.15583377839489032,0.21796354478757943,142
ENSG00000163817,SLC6A20,54716,208.6557215586,-2.0315212200741,0.512822968981388,3.12047025494982e-06,0.0006853825104633,0.3320638739313979,0.10317896346157414,0.21762141869648602,143
ENSG00000154451,GBP5,115362,5297.61414460413,2.18372810590593,0.654411619894654,3.48975277162308e-05,0.0039873069167893,0.35694296830113725,0.07824088000298103,0.21759192415205914,144
ENSG00000153012,LGI2,55203,168.635284161411,2.08379468867229,0.55704815708854,7.75613363535171e-06,0.0012807811038873,0.34060827421381934,0.094324090515308,0.21746618236456366,145
ENSG00000180730,SHISA2,387914,805.893001588842,-2.06769742809664,0.55463216290868,7.52487715192264e-06,0.0012610021911699,0.3379770840231313,0.09454450110560159,0.21626079256436645,146
ENSG00000280411,IGHV1-69D,102723169,133.581257218106,2.11427667594052,0.595014374019227,1.49851290119816e-05,0.0021731318822952,0.3455907310434097,0.08683656169620736,0.21621364636980853,147
ENSG00000145824,CXCL14,9547,478.699384543085,2.28589775143671,0.865474652034012,0.0002460221448512,0.0163698793616747,0.37364318681616265,0.058239265263326935,0.2159412260397448,148
ENSG00000149435,GGTLC1,92086,277.679204977565,-2.10861232974978,0.609200101823872,2.03896700373327e-05,0.0027294408594945,0.34466486095118537,0.08360861533619003,0.2141367381436877,149
ENSG00000166920,C15orf48,84419,195.005755319012,2.29717785932564,0.986346694049279,0.0005340208512777,0.0277727671688672,0.375486985584765,0.05075295922155771,0.21311997240316136,150
ENSG00000125845,BMP2,650,1402.79235270686,-2.00826963263462,0.532644000613263,6.4602256540633e-06,0.0011156464501669,0.3282632677039489,0.09627898146116501,0.21227112458255698,151
ENSG00000231475,IGHV4-30-2,28398,137.115409697579,2.04441279353529,0.582199949382546,1.74539289017563e-05,0.0024076843508806,0.33417107605279034,0.08538499528927271,0.20977803567103154,152
ENSG00000205364,MT1M,4499,98.7024519480066,-2.21949080075516,0.859937930367884,0.0002946331946338,0.0187232774219116,0.3627885872769649,0.056336938720821184,0.20956276299889304,153
ENSG00000168309,FAM107A,11170,3852.01726800417,-2.02050311575306,0.565923037892752,1.35126670927824e-05,0.0019850458937663,0.33026290115884116,0.0881186255100068,0.209190763334424,154
ENSG00000181215,C4orf50,389197,56.319363568793,2.18461328066591,0.808552242754737,0.0002015009730946,0.0143803044615816,0.35708765522687586,0.06007444877995522,0.20858105200341553,155
ENSG00000245293,CYP2U1-AS1,101929595,700.223595059486,-2.17383447995972,0.800526606489375,0.0001959964310689,0.0142302544446183,0.35532579801196496,0.060222999064404474,0.20777439853818472,156
ENSG00000211653,IGLV1-40,28825,481.816098674526,2.15885910508481,0.772039554106158,0.0001645571142582,0.0124371617929805,0.35287798651711083,0.062130379708769654,0.20750418311294025,157
ENSG00000173578,XCR1,2829,170.35752303853,2.05731584630119,0.621490366338673,3.29022204641183e-05,0.0038971043641871,0.33628015453282206,0.07856494214984698,0.20742254834133453,158
ENSG00000211966,IGHV5-51,28388,932.495706285008,2.21801199199732,0.932758080756724,0.000487089286527,0.0261123718699098,0.3625468674464853,0.05162601058266991,0.2070864390145776,159
ENSG00000130518,IQCN,80726,1796.7726136541,-2.09326912686354,0.674829167667647,6.53121844453679e-05,0.0063687825375325,0.34215692584394863,0.07160884509596079,0.2068828854699547,160
ENSG00000162692,VCAM1,7412,2212.55158076466,1.64318939728718,0.339977084063666,6.7591269091393e-08,3.82279320163646e-05,0.26858879517206197,0.14405680160787226,0.20632279838996712,161
ENSG00000211943,IGHV3-15,28448,368.420826355065,2.09797299990964,0.705045328552477,9.72518184470059e-05,0.0084296087690674,0.34292580105467,0.06763859354393996,0.205282197299305,162
ENSG00000151790,TDO2,6999,336.881404028297,1.99370837509681,0.572511459951866,1.96173008657979e-05,0.0026416797469461,0.3258831460790606,0.08407146043367189,0.20497730325636626,163
ENSG00000213853,EMP2,2013,17644.5825409702,-1.71055846321248,0.375335458529365,2.41156121945294e-07,0.0001029372631465,0.27960065800334405,0.13002841803479961,0.20481453801907185,164
ENSG00000211789,TRAV12-2,28673,53.3958466536736,2.1772702600381,0.890284437362311,0.0004346791568639,0.0243131373246032,0.35588739610482745,0.052637081677205516,0.20426223889101647,165
ENSG00000243264,IGKV2D-29,28882,68.4535843467441,2.15591563815345,0.838509424226393,0.0003295900229789,0.0202048852853712,0.3523968598508677,0.05525839190822376,0.20382762587954573,166
ENSG00000169174,PCSK9,255738,353.953328996318,-2.0490676155431,0.655334793772309,6.24586204388648e-05,0.006197374430651,0.33493193358807033,0.0719952259643888,0.20346357977622956,167
ENSG00000108001,EBF3,253738,79.6808909248193,2.22613436882324,1.19343268348739,0.0012345576489908,0.0494325622887067,0.3638745168393118,0.04258771167050967,0.20323111425491075,168
