"query","significant","p_value","term_size","query_size","intersection_size","precision","recall","term_id","source","term_name","effective_domain_size","source_order","parents"
"query_1",TRUE,5.04016394327476e-06,7425,422,208,0.492890995260663,0.028013468013468,"GO:0051716","GO:BP","cellular response to stimulus",20972,12983,"GO:0009987;GO:0050896"
"query_1",TRUE,5.62170418080791e-06,1594,422,68,0.161137440758294,0.0426599749058971,"GO:0002682","GO:BP","regulation of immune system process",20972,1154,"GO:0002376;GO:0050789"
"query_1",TRUE,5.66187092619056e-06,349,422,27,0.0639810426540284,0.0773638968481375,"GO:0031589","GO:BP","cell-substrate adhesion",20972,6771,"GO:0007155"
"query_1",TRUE,6.31958724873934e-06,1000,422,50,0.118483412322275,0.05,"GO:0009887","GO:BP","animal organ morphogenesis",20972,3586,"GO:0009653;GO:0048513"
"query_1",TRUE,7.82050437389606e-06,975,422,49,0.116113744075829,0.0502564102564103,"GO:0045321","GO:BP","leukocyte activation",20972,10587,"GO:0001775;GO:0002376"
"query_1",TRUE,1.01260581922308e-05,623,422,37,0.0876777251184834,0.0593900481540931,"GO:0048598","GO:BP","embryonic morphogenesis",20972,12016,"GO:0009653;GO:0009790"
"query_1",TRUE,1.10240417721684e-05,182,422,19,0.0450236966824645,0.104395604395604,"GO:0097553","GO:BP","calcium ion transmembrane import into cytosol",20972,17473,"GO:0070588"
"query_1",TRUE,1.48231676795652e-05,632,422,37,0.0876777251184834,0.0585443037974684,"GO:0048514","GO:BP","blood vessel morphogenesis",20972,11950,"GO:0001568;GO:0035239"
"query_1",TRUE,1.59987292493492e-05,1778,422,72,0.170616113744076,0.0404949381327334,"GO:0010647","GO:BP","positive regulation of cell communication",20972,4106,"GO:0007154;GO:0010646;GO:0048522"
"query_1",TRUE,1.6377204135974e-05,1779,422,72,0.170616113744076,0.0404721753794266,"GO:0023056","GO:BP","positive regulation of signaling",20972,6206,"GO:0023051;GO:0023052;GO:0048518"
"query_1",TRUE,1.84381848074622e-05,1677,422,69,0.163507109004739,0.0411449016100179,"GO:0042592","GO:BP","homeostatic process",20972,9598,"GO:0008150"
"query_1",TRUE,2.1297080832049e-05,880,422,45,0.106635071090047,0.0511363636363636,"GO:0033993","GO:BP","response to lipid",20972,7811,"GO:0042221"
"query_1",TRUE,2.24048613953357e-05,944,422,47,0.111374407582938,0.0497881355932203,"GO:0030334","GO:BP","regulation of cell migration",20972,6339,"GO:0016477;GO:2000145"
"query_1",TRUE,2.50541214559742e-05,212,422,20,0.0473933649289099,0.0943396226415094,"GO:0010810","GO:BP","regulation of cell-substrate adhesion",20972,4216,"GO:0030155;GO:0031589"
"query_1",TRUE,2.93974775481652e-05,214,422,20,0.0473933649289099,0.0934579439252336,"GO:0009612","GO:BP","response to mechanical stimulus",20972,3383,"GO:0009605;GO:0009628"
"query_1",TRUE,3.22584628669836e-05,483,422,31,0.0734597156398104,0.0641821946169772,"GO:0045785","GO:BP","positive regulation of cell adhesion",20972,10845,"GO:0007155;GO:0030155;GO:0048522"
"query_1",TRUE,3.28754151085431e-05,1052,422,50,0.118483412322275,0.0475285171102662,"GO:0006812","GO:BP","monoatomic cation transport",20972,2364,"GO:0006811"
"query_1",TRUE,3.32335617812502e-05,988,422,48,0.113744075829384,0.048582995951417,"GO:0007167","GO:BP","enzyme-linked receptor protein signaling pathway",20972,2597,"GO:0007166"
"query_1",TRUE,3.36308400427148e-05,511,422,32,0.0758293838862559,0.0626223091976517,"GO:0008015","GO:BP","blood circulation",20972,2956,"GO:0003013"
"query_1",TRUE,3.42216236797972e-05,595,422,35,0.0829383886255924,0.0588235294117647,"GO:0003013","GO:BP","circulatory system process",20972,1415,"GO:0003008"
"query_1",TRUE,3.93778564972366e-05,627,422,36,0.0853080568720379,0.0574162679425837,"GO:0050865","GO:BP","regulation of cell activation",20972,12450,"GO:0001775;GO:0050794;GO:0051239"
"query_1",TRUE,4.28688947067529e-05,572,422,34,0.0805687203791469,0.0594405594405594,"GO:0002694","GO:BP","regulation of leukocyte activation",20972,1166,"GO:0002682;GO:0045321;GO:0050865"
"query_1",TRUE,5.94796961840692e-05,1238,422,55,0.130331753554502,0.0444264943457189,"GO:0071495","GO:BP","cellular response to endogenous stimulus",20972,15590,"GO:0009719"
"query_1",TRUE,6.20814825492838e-05,1693,422,68,0.161137440758294,0.0401653868871825,"GO:0048585","GO:BP","negative regulation of response to stimulus",20972,12007,"GO:0048519;GO:0048583;GO:0050896"
"query_1",TRUE,6.22005912909735e-05,292,422,23,0.0545023696682464,0.0787671232876712,"GO:0034765","GO:BP","regulation of monoatomic ion transmembrane transport",20972,8158,"GO:0034220;GO:0034762;GO:0043269"
"query_1",TRUE,6.90405240923882e-05,612,422,35,0.0829383886255924,0.0571895424836601,"GO:0048729","GO:BP","tissue morphogenesis",20972,12136,"GO:0009653;GO:0009888"
"query_1",TRUE,7.29261095832584e-05,1046,422,49,0.116113744075829,0.0468451242829828,"GO:0040012","GO:BP","regulation of locomotion",20972,9266,"GO:0040011;GO:0050789"
"query_1",TRUE,7.62825805144505e-05,673,422,37,0.0876777251184834,0.0549777117384844,"GO:0061061","GO:BP","muscle structure development",20972,14123,"GO:0048856"
"query_1",TRUE,7.72531756406621e-05,421,422,28,0.0663507109004739,0.0665083135391924,"GO:0043269","GO:BP","regulation of monoatomic ion transport",20972,9925,"GO:0006811;GO:0051049"
"query_1",TRUE,8.52100477595325e-05,859,422,43,0.101895734597156,0.050058207217695,"GO:0098655","GO:BP","monoatomic cation transmembrane transport",20972,17576,"GO:0006812;GO:0034220"
"query_1",TRUE,9.62879147922118e-05,1569,422,64,0.151658767772512,0.0407903123008286,"GO:0009967","GO:BP","positive regulation of signal transduction",20972,3644,"GO:0007165;GO:0009966;GO:0010647;GO:0023056;GO:0048584"
"query_1",TRUE,0.000102962028050866,1025,422,48,0.113744075829384,0.0468292682926829,"GO:0034220","GO:BP","monoatomic ion transmembrane transport",20972,7944,"GO:0006811;GO:0055085"
"query_1",TRUE,0.000109437446275559,1126,422,51,0.12085308056872,0.0452930728241563,"GO:0009790","GO:BP","embryo development",20972,3517,"GO:0007275"
"query_1",TRUE,0.000112842890400039,326,422,24,0.0568720379146919,0.0736196319018405,"GO:0032496","GO:BP","response to lipopolysaccharide",20972,7112,"GO:0002237;GO:0033993;GO:1901700"
"query_1",TRUE,0.000137659574016591,811,422,41,0.0971563981042654,0.0505548705302096,"GO:0046649","GO:BP","lymphocyte activation",20972,11448,"GO:0045321"
"query_1",TRUE,0.000142811045469716,258,422,21,0.0497630331753555,0.0813953488372093,"GO:1904062","GO:BP","regulation of monoatomic cation transmembrane transport",20972,21845,"GO:0034765;GO:0098655"
"query_1",TRUE,0.000149614169310102,1005,422,47,0.111374407582938,0.0467661691542289,"GO:2000145","GO:BP","regulation of cell motility",20972,23634,"GO:0040012;GO:0048870;GO:0050794"
"query_1",TRUE,0.00018183632019727,979,422,46,0.109004739336493,0.0469867211440245,"GO:0034097","GO:BP","response to cytokine",20972,7846,"GO:1901652"
"query_1",TRUE,0.000220374956043944,1392,422,58,0.137440758293839,0.0416666666666667,"GO:2000026","GO:BP","regulation of multicellular organismal development",20972,23538,"GO:0007275;GO:0050793;GO:0051239"
"query_1",TRUE,0.000230478455475665,2431,422,86,0.203791469194313,0.0353763883175648,"GO:0050793","GO:BP","regulation of developmental process",20972,12400,"GO:0032502;GO:0050789"
"query_1",TRUE,0.000236628780346538,923,422,44,0.104265402843602,0.047670639219935,"GO:0008284","GO:BP","positive regulation of cell population proliferation",20972,3011,"GO:0008283;GO:0042127;GO:0048522"
"query_1",TRUE,0.00024861352454341,1866,422,71,0.16824644549763,0.0380493033226152,"GO:0141124","GO:BP","intracellular signaling cassette",20972,18783,"GO:0035556"
