"","baseMean","log2FoldChange","lfcSE","pvalue","padj"
"ENSG00000007402.13",3521.64748532213,-1.04055760644294,0.480935845640281,0.001197508056046,0.0481194045327329
"ENSG00000088538.14",142.341344794267,1.42491928099657,0.661491542016156,0.000990865542359839,0.0425354942256426
"ENSG00000114854.8",742.414050578182,-2.04971932147317,0.412935121540941,3.20405026701642e-08,2.0134785886309e-05
"ENSG00000168309.19",3852.01726800417,-2.02050311575306,0.565923037892752,1.35126670927824e-05,0.00198504589376633
"ENSG00000243384.1",66.0582380719006,-1.75481430562668,0.843647986747342,0.00103209209078,0.0433996642559775
"ENSG00000309424.1",50.4783038686633,-2.25888641703716,0.747470248095664,9.27190842861825e-05,0.00816180483971325
"ENSG00000271856.2",95.1030250615781,1.68893015942415,0.602421078727091,0.000187522745222397,0.0137737891726178
"ENSG00000153283.15",1338.13257857253,1.44434890697677,0.565082499384944,0.000387514271854506,0.0223232839289078
"ENSG00000299130.1",34.1610941621143,-2.30833209719136,0.96651833407664,0.000527319974967528,0.0274996502450049
"ENSG00000091986.17",11049.8505618367,1.43487374470898,0.597055121770757,0.000605070663749238,0.0306230729888121
"ENSG00000243197.8",163.317518319121,-1.78780829780977,0.516096167694535,2.18714576467072e-05,0.00286071389539084
"ENSG00000241213.3",129.345313060868,-1.54528726040878,0.604624115690138,0.000375540435291766,0.0221246126760563
"ENSG00000173200.14",1046.7313879274,1.27794151938018,0.382658199392252,3.98512583973213e-05,0.00441938734667942
"ENSG00000114654.9",787.235361476172,-1.30261423853409,0.421768728248967,8.75613314663908e-05,0.00782964427574766
"ENSG00000271270.9",153.232694619025,1.18875496844219,0.529943448253695,0.000924318281700214,0.0410822249251551
"ENSG00000066405.14",13751.6927076738,-1.20739527090703,0.349309563736117,2.66425032607413e-05,0.00331172171026237
"ENSG00000158220.15",1588.63915802025,-1.01933312992797,0.392069172996486,0.000436331775352026,0.0243131373246032
"ENSG00000047457.15",1979.02361294114,2.49202681674899,0.564096442666841,4.31211668597881e-07,0.000162588359644831
"ENSG00000169860.7",1576.75595947161,-1.0428032701893,0.383847483207347,0.00031211518058713,0.0195054743934327
"ENSG00000238755.3",27.5372979494551,2.82565712509521,1.04320551558984,0.000200280055723307,0.0143632371013834
"ENSG00000114790.14",2974.99093957926,-1.38982674297412,0.371254793355686,8.50837060046927e-06,0.00138478322370084
